tabla_origen,datos_raw,motivo_rechazo,fecha_deteccion
Ventas,VentaID=271 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=275 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=279 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=283 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=287 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=291 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=295 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=299 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=303 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=307 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=311 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=315 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=319 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=323 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=327 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=331 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=335 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=339 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=343 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=347 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=351 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=355 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=359 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=363 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=367 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=371 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=375 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=379 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=383 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=387 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=391 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=395 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=399 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=403 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=407 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=411 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=415 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=419 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=423 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=427 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=431 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=435 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=439 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=443 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=447 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=451 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=455 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=459 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=463 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=467 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=471 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=475 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=479 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=483 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=487 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=491 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=495 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=499 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=503 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=507 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=511 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=515 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=519 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=523 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=527 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=531 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=535 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=539 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=543 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=547 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=551 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=555 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=559 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=563 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=567 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=571 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=575 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=579 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=583 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=587 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=591 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=595 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=599 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=603 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=607 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=611 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=615 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=619 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=623 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=627 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=631 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=635 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=639 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=643 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=647 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=651 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=655 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=659 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=663 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=667 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=671 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=675 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=679 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=683 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=687 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=691 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=695 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=699 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=703 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=707 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=711 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=715 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=719 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=723 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=727 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=731 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=735 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=739 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=743 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=747 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=751 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=755 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=759 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=763 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=767 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=771 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=775 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=779 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=783 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=787 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=791 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=795 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=799 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=803 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=807 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=811 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=815 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=819 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=823 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=827 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=831 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=835 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=839 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=843 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=847 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=851 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=855 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=859 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=863 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=867 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=871 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=875 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=879 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=883 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=887 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=891 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=895 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=899 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=903 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=907 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=911 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=915 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=919 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=923 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=927 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=931 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=935 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=939 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=943 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=947 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=951 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=955 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=959 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=963 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=967 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=971 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=975 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=979 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=983 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=987 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=991 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=995 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=999 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1003 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1007 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1011 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1015 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1019 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1023 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1027 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1031 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1035 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1039 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1043 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1047 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1051 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1055 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1059 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1063 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1067 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1071 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1075 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1079 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1083 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1087 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1091 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=1095 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
